crop,id_cultivar_final,cultivar_name
Wheat,6334a7d1dafa3125501ea8b0,High maturity
Wheat,6334a7e4dafa3125501ea8b3,Medium maturity
Wheat,6334a7afdafa3125501ea8ad,Low maturity
